State	$ID	$int	$void	$if	$else	$while	$return	$+	$-	$*	$/	$=	$==	$>	$>=	$<	$<=	$!=	$LeftArray	$RightArray	$;	$,	$LeftAnno	$RightAnno	$Anno	$(	$)	${	$}	$number	$end	$empty	$Program0	$Program	<N>	<声明串>	<A>	<M>	<声明>	<声明类型>	<函数声明>	<形参>	<语句块>	<参数列表>	<参数>	<内部声明>	<语句串>	<内部变量声明>	<语句>	<if语句>	<while语句>	<return语句>	<assign语句>	<表达式>	<加法表达式>	<比较运算符>	<项>	<因子>	<实参列表>
0		r2	r2																															s1	s2																								
1																															acc																												
2		s3	s4																																	s5			s6																				
3	s145																																																										
4	s8																																																										
5		s3	s4																												r0								s7																				
6		r4	r4																												r4																												
7		r5	r5																												r5																												
8																										r3												s9																					
9																										r1											s10																						
10																										s11															s12																		
11		s13	s14																																							s15		s16	s17														
12		r7	r7																												r7																												
13	s144																																																										
14																											r12																																
15																											s20																																
16																											r11																																
17																						s18					r13																																
18		s13																																										s19	s17														
19																											r14																																
20																												s21															s22																
21	r17	s23		r17		r17	r17																																							s24		s25											
22		r10	r10																												r10																												
23	s142																																																										
24	s27			s28		s29	s30																																								s31		s32	s33	s34	s35	s36						
25	r17	s23		r17		r17	r17																																							s26		s25											
26	r18			r18		r18	r18																																																				
27												s139																																															
28																										s125																																	
29																										r3												s115																					
30	s40																				s41					s42				s43																								s44	s45		s46	s47	
31																													s39																														
32	r3			r3		r3	r3																						r20									s37																					
33	r22			r22		r22	r22																						r22																														
34	r23			r23		r23	r23																						r23																														
35	r24			r24		r24	r24																						r24																														
36	r25			r25		r25	r25																						r25																														
37	s27			s28		s29	s30																																								s38		s32	s33	s34	s35	s36						
38																													r21																														
39		r16	r16																												r16																												
40								r49	r49	r49	r49		r49	r49	r49	r49	r49	r49			r49					s112																																	
41	r27			r27		r27	r27																						r27																														
42	s65																									s66				s67																								s68	s69		s70	s71	
43								r46	r46	r46	r46		r46	r46	r46	r46	r46	r46			r46																																						
44													s56	s57	s58	s59	s60	s61			s62																																			s63			
45													r32	r32	r32	r32	r32	r32			r32																																						
46								s52	s53				r40	r40	r40	r40	r40	r40			r40																																						
47								r43	r43	s48	s49		r43	r43	r43	r43	r43	r43			r43																																						
48	s40																									s42				s43																											s51	s47	
49	s40																									s42				s43																											s50	s47	
50								r45	r45				r45	r45	r45	r45	r45	r45			r45																																						
51								r44	r44				r44	r44	r44	r44	r44	r44			r44																																						
52	s40																									s42				s43																									s55		s46	s47	
53	s40																									s42				s43																									s54		s46	s47	
54													r42	r42	r42	r42	r42	r42			r42																																						
55													r41	r41	r41	r41	r41	r41			r41																																						
56	r38																									r38				r38																													
57	r36																									r36				r36																													
58	r37																									r37				r37																													
59	r34																									r34				r34																													
60	r35																									r35				r35																													
61	r39																									r39				r39																													
62	r28			r28		r28	r28																						r28																														
63	s40																									s42				s43																									s64		s46	s47	
64													r33	r33	r33	r33	r33	r33			r33																																						
65								r49	r49	r49	r49		r49	r49	r49	r49	r49	r49								s85	r49																																
66	s65																									s66				s67																								s83	s69		s70	s71	
67								r46	r46	r46	r46		r46	r46	r46	r46	r46	r46									r46																																
68													s56	s57	s58	s59	s60	s61									s80																													s81			
69													r32	r32	r32	r32	r32	r32									r32																																
70								s76	s77				r40	r40	r40	r40	r40	r40									r40																																
71								r43	r43	s72	s73		r43	r43	r43	r43	r43	r43									r43																																
72	s65																									s66				s67																											s75	s71	
73	s65																									s66				s67																											s74	s71	
